timestamp,temp_C,HR,windSpeed_m/s,windGust_m/s,pres_mbar,solarRad_W/m2,rain_mm/h,rain_day,Power_kW,Hour,Week Day
2017-01-02 07:00:00,10.256666666666666,82.43333333333334,8.137666666666666,10.125833333333334,1013.0,1.7679166666666666,0.0,0.0,86.1429695,7.0,0.0
2017-01-02 08:00:00,10.105833333333333,80.65833333333333,9.291333333333334,11.258333333333333,1013.0,18.456583333333334,0.0,0.0,107.1224655,8.0,0.0
2017-01-02 09:00:00,10.384166666666667,79.49166666666666,7.584666666666667,9.685916666666667,1013.3333333333334,42.23916666666667,0.0,0.0,119.8500905,9.0,0.0
2017-01-02 10:00:00,10.936666666666667,77.7,8.448,10.6275,1014.0,51.625,0.0,0.0,191.813721,10.0,0.0
2017-01-02 11:00:00,11.874166666666667,74.7,7.610499999999999,9.770000000000001,1013.5833333333334,40.54833333333333,0.0,0.0,196.6576475,11.0,0.0
2017-01-02 12:00:00,12.63,73.76666666666667,6.322833333333333,7.84025,1012.9166666666666,50.6325,0.0,0.0,187.0340335,12.0,0.0
2017-01-02 13:00:00,13.6175,70.11833333333333,6.225583333333333,8.322000000000001,1012.75,22.359166666666667,0.17500000000000002,0.17500000000000002,187.972054,13.0,0.0
2017-01-02 14:00:00,13.714166666666666,71.26083333333334,6.228666666666666,8.34425,1012.1666666666666,16.667083333333334,0.5916666666666667,0.7666666666666666,198.8369665,14.0,0.0
2017-01-02 15:00:00,13.200833333333334,77.0,7.070166666666666,9.392750000000001,1012.6666666666666,33.44916666666666,1.4166666666666667,2.158333333333333,199.73085,15.0,0.0
2017-01-02 16:00:00,13.099166666666667,76.81666666666666,7.095416666666668,9.685833333333333,1012.1666666666666,6.418833333333333,1.2249999999999999,3.35,203.6592615,16.0,0.0
2017-01-02 17:00:00,13.498333333333333,76.89999999999999,8.548333333333334,11.824166666666668,1012.5,3.5980000000000003,0.8333333333333334,4.158333333333333,152.1566265,17.0,0.0
2017-01-02 18:00:00,13.875,75.28333333333333,8.066666666666666,10.944166666666668,1013.1666666666666,2.6148333333333333,0.14166666666666666,4.3,133.543704,18.0,0.0
2017-01-02 19:00:00,13.494166666666667,79.64166666666667,7.6401666666666666,10.295,1014.5,3.3829999999999996,0.4666666666666666,4.766666666666667,99.4386945,19.0,0.0
2017-01-02 20:00:00,13.403333333333334,81.55833333333334,6.586749999999999,8.848333333333334,1015.0,1.7562499999999999,0.8250000000000001,5.583333333333333,82.2925625,20.0,0.0
2017-01-02 21:00:00,13.403333333333334,81.55833333333334,6.586749999999999,8.848333333333334,1015.0,1.7562499999999999,0.8250000000000001,5.583333333333333,82.2925625,20.0,0.0
2017-01-02 22:00:00,13.403333333333334,81.55833333333334,6.586749999999999,8.848333333333334,1015.0,1.7562499999999999,0.8250000000000001,5.583333333333333,82.2925625,20.0,0.0
2017-01-02 23:00:00,13.403333333333334,81.55833333333334,6.586749999999999,8.848333333333334,1015.0,1.7562499999999999,0.8250000000000001,5.583333333333333,82.2925625,20.0,0.0
2017-01-03 00:00:00,13.403333333333334,81.55833333333334,6.586749999999999,8.848333333333334,1015.0,1.7562499999999999,0.8250000000000001,5.583333333333333,82.2925625,20.0,0.0
2017-01-03 01:00:00,13.403333333333334,81.55833333333334,6.586749999999999,8.848333333333334,1015.0,1.7562499999999999,0.8250000000000001,5.583333333333333,82.2925625,20.0,0.0
2017-01-03 02:00:00,13.403333333333334,81.55833333333334,6.586749999999999,8.848333333333334,1015.0,1.7562499999999999,0.8250000000000001,5.583333333333333,82.2925625,20.0,0.0
2017-01-03 03:00:00,13.403333333333334,81.55833333333334,6.586749999999999,8.848333333333334,1015.0,1.7562499999999999,0.8250000000000001,5.583333333333333,82.2925625,20.0,0.0
2017-01-03 04:00:00,13.403333333333334,81.55833333333334,6.586749999999999,8.848333333333334,1015.0,1.7562499999999999,0.8250000000000001,5.583333333333333,82.2925625,20.0,0.0
2017-01-03 05:00:00,13.403333333333334,81.55833333333334,6.586749999999999,8.848333333333334,1015.0,1.7562499999999999,0.8250000000000001,5.583333333333333,82.2925625,20.0,0.0
2017-01-03 06:00:00,13.403333333333334,81.55833333333334,6.586749999999999,8.848333333333334,1015.0,1.7562499999999999,0.8250000000000001,5.583333333333333,82.2925625,20.0,0.0
2017-01-03 07:00:00,14.915,84.35833333333333,4.558166666666667,6.205749999999999,1019.5833333333334,1.3335833333333333,0.0,1.1,86.5970125,7.0,1.0
2017-01-03 08:00:00,14.969166666666666,84.625,4.484916666666667,5.828250000000001,1020.6666666666666,38.596916666666665,0.0,1.1,109.1772395,8.0,1.0
2017-01-03 09:00:00,15.356666666666667,82.45833333333333,3.9956666666666667,5.157,1021.6666666666666,94.52749999999999,0.0,1.1,125.4096045,9.0,1.0
2017-01-03 10:00:00,15.551666666666668,81.00833333333334,2.14875,3.18675,1022.8333333333334,143.95833333333334,0.0,1.1,212.5189995,10.0,1.0
2017-01-03 11:00:00,15.388333333333334,79.43333333333334,3.96975,5.094666666666667,1023.0,202.845,0.0,1.1,192.9990835,11.0,1.0
2017-01-03 12:00:00,16.289166666666667,73.35833333333333,6.152833333333334,7.695833333333333,1022.9166666666666,296.60833333333335,0.0,1.1,202.6742635,12.0,1.0
2017-01-03 13:00:00,16.326666666666664,73.83,6.203666666666667,7.798583333333333,1022.0833333333334,238.4416666666667,0.0,1.1,203.2768865,13.0,1.0
2017-01-03 14:00:00,16.334166666666665,73.29166666666667,6.0655833333333335,7.737416666666667,1022.5,148.11666666666667,0.0,1.1,210.4152815,14.0,1.0
